Ticket_Number,O_violation_location_borough,O_violation_location_block_no,O_violation_location_lot_no,O_violation_location_house_no,O_violation_location_street_name,O_violation_location_city,O_violation_location_zip_code,O_violation_location_state,Category (Gemini),Revised_Address (Gemini),Updated_Address,Ticket used
196464813,BROOKLYN,,,,EASTERN PARKWAY BUFFALO AVEN,BROOKLYN,,NEW YORK,Insufficient Information,EASTERN PARKWAY BUFFALO AVEN,Eastern Pkwy & Buffalo Ave,FALSE
196675820,NOT NYC,,,,BROADWAY W 47 ST,,,,Insufficient Information,BROADWAY W 47 ST,Broadway & W 47th St,FALSE
197778460,MANHATTAN,,,,KENMARE STREET,MANHATTAN,,NEW YORK,Insufficient Information,KENMARE STREET,Kenmare St,FALSE
197882109,MANHATTAN,,,,I O DIVISION STREET PIKE STR,NEW YORK,,NEW YORK,Insufficient Information,DIVISION STREET PIKE STR,Division St & Pike St,FALSE
198058805,MANHATTAN,,,,N EC O W 50 9TH,NEW YORK,,NEW YORK,Insufficient Information,N EC O W 50 9TH,W 50th St & 9th Avenue,TRUE
198164295,MANHATTAN,,,,E 46 STREET 1 AVENUE,NEW YORK,,NEW YORK,Insufficient Information,E 46 STREET 1 AVENUE,E 46th St & 1st Ave,FALSE
198319770,MANHATTAN,,,,W 181 STREET AUDUBON AVE,NEW YORK,,NEW YORK,Insufficient Information,W 181 STREET AUDUBON AVE,Audubon Ave & W 181st St,FALSE
198488548,MANHATTAN,,,,82ND BROADWAY,NEW YORK,,NEW YORK,Insufficient Information,82ND BROADWAY,W 82nd St & Broadway,FALSE
198664346,QUEENS,,,,I O FLUSHING MEADOW PARK,QUEENS,,NEW YORK,Insufficient Information,FLUSHING MEADOW PARK,17 Ederle Promenade,FALSE
198886959,STATEN IS,,,,VAN DUZER WRIGHT ST,STATEN ISLAND,,NEW YORK,Insufficient Information,VAN DUZER WRIGHT ST,Van Duzer & Wright St,FALSE
198963784,QUEENS,,,,GANTRY STATE PLAZA,QUEENS,,NEW YORK,Insufficient Information,GANTRY STATE PLAZA,Gantry State Plaza,FALSE
198980688,QUEENS,,,,79 STREET 37 AVE,QUEENS,,NEW YORK,Insufficient Information,79 STREET 37 AVE,79th St & 37th Ave,FALSE
198985940,QUEENS,,,,FLUSHING MEADOWS CORONA PARK,CORONA,,NEW YORK,Insufficient Information,FLUSHING MEADOWS CORONA PARK,17 Ederle Promenade,FALSE
199000167,QUEENS,,,,NB SPRINGFIELD WB HORACE HAR,QUEENS,,NEW YORK,Insufficient Information,NB SPRINGFIELD WB HORACE HAR,Springfield Blvd & Horace Harding Expy,FALSE
199017271,QUEENS,,,,I O 108 STREET HORACE HARDIN,QUEENS,,NEW YORK,Insufficient Information,108 STREET HORACE HARDIN,108th St & Horace Harding Expy,FALSE
199084573,QUEENS,,,,AUSTIN STREET 62 AVENUE,QUEENS,,NEW YORK,Insufficient Information,AUSTIN STREET 62 AVENUE,Austin St & 62nd Ave,FALSE
199244385,QUEENS,,,,C O 149 STREET 20 AVENUE,QUEENS,,NEW YORK,Insufficient Information,149 STREET 20 AVENUE,149th St & 20th Ave,FALSE
199249481,QUEENS,,,,41 AVENUE HAIGHT STREET,QUEENS,,NEW YORK,Insufficient Information,41 AVENUE HAIGHT STREET,41st Ave & Haight St,FALSE
199307608,QUEENS,,,,C O 147 AVENUE SPRINGFIELD B,QUEENS,,NEW YORK,Insufficient Information,147 AVENUE SPRINGFIELD B,147th Ave & Springfield Blvd,FALSE
199375469,QUEENS,,,,90 AVENUE 210 PLACE,QUEENS,,NEW YORK,Insufficient Information,90 AVENUE 210 PLACE,90th Ave & 210th Pl,FALSE
199733124,BROOKLYN,,,,BEVERLY ROAD I O ARGYLE ROAD,BROOKLYN,,NEW YORK,Insufficient Information,BEVERLY ROAD I O ARGYLE ROAD,Beverly Rd & Argyle Rd,FALSE
199771606,BROOKLYN,,,,FLATBUSH AVENUE I O GLENWOOD,BROOKLYN,,NEW YORK,Insufficient Information,FLATBUSH AVENUE I O GLENWOOD,Flatbush Rd & Glenwood Ave,FALSE
199913854,BROOKLYN,,,,86 STREET I O STILLWELL AVE,BROOKLYN,,NEW YORK,Insufficient Information,86 STREET I O STILLWELL AVE,86th St & Stillwell Ave,FALSE
199938806,MANHATTAN,,,,BROADWAY W 32 ST,NEW YORK,,NEW YORK,Insufficient Information,BROADWAY W 32 ST,Broadway & W 32nd St,FALSE
200036605,BROOKLYN,,,,I O 8TH AVENUE 9TH STREET,BROOKLYN,,NEW YORK,Insufficient Information,8TH AVENUE 9TH STREET,8th Ave & 9th St,FALSE
200266597,BROOKLYN,,,,C O BAY PARKWAY 84 STREET,BROOKLYN,,NEW YORK,Insufficient Information,BAY PARKWAY 84 STREET,Bay Pkwy & 84th St,FALSE
200269576,BROOKLYN,,,,65 STREET 23 AVE,BROOKLYN,,NEW YORK,Insufficient Information,65 STREET 23 AVE,65th St & 23rd Ave,FALSE
200315491,MANHATTAN,,,,N W O W 45 7 AVE,NEW YORK,,NEW YORK,Insufficient Information,N W O W 45 7 AVE,W 45th St & 7th Ave,FALSE
200324549,BRONX,,,,CASTLE HILL GLEASON AVE,BRONX,,NEW YORK,Insufficient Information,CASTLE HILL GLEASON AVE,Castle Hill Ave & Gleason Ave,FALSE
200425711,BROOKLYN,,,,C O STANHOPE WYCKOFF,BROOKLYN,,NEW YORK,Insufficient Information,STANHOPE WYCKOFF,Stanhope St & Wyckoff Ave,FALSE
200529322,BRONX,2788,1,,CLAREMONT PARK,BRONX,10457,NEW YORK,Insufficient Information,CLAREMONT PARK,Clay Ave & E 170th St,FALSE
200734921,BRONX,,,,N W WEBSTER AV BOTANICAL SQU,BRONX,,NEW YORK,Insufficient Information,N W WEBSTER AV BOTANICAL SQU,Webster Ave & Botantical Square,TRUE
200787007,BRONX,,,,I O CLAREMONT AVE,BRONX,,NEW YORK,Insufficient Information,CLAREMONT AVE,Claremont Ave,FALSE
201338711,BROOKLYN,,,,C O BROADWAY HAVEMEYER ST,BROOKLYN,,NEW YORK,Insufficient Information,BROADWAY HAVEMEYER ST,Broadway & Havemeyer St,FALSE
201361060,BROOKLYN,,,,BERGEN ALBANY AVE,BROOKLYN,,NEW YORK,Insufficient Information,BERGEN ALBANY AVE,Bergen St & Albany Ave,FALSE
201533494,BROOKLYN,,,,WASHINGTON GATES,BROOKLYN,,NEW YORK,Insufficient Information,WASHINGTON GATES,Washington Ave & Gates Ave,TRUE
201569767,BROOKLYN,,,,S B SCHNECTADY I O FULTON ST,BROOKLYN,,NEW YORK,Insufficient Information,SCHNECTADY I O FULTON ST,Schenectady Ave & Fulton St,FALSE
201644814,BRONX,,,,C O BAYCHESTER AV BOSTON RD,BRONX,,NEW YORK,Insufficient Information,BAYCHESTER AV BOSTON RD,Baychester Ave & Boston Rd,FALSE
201783708,,,,,,,,,Insufficient Information,NAN,.,.
201785540,,,,,,,,,Insufficient Information,NAN,.,.
201786146,BRONX,,,,,BRONX,,NEW YORK,Insufficient Information,NAN,.,.
201799878,BRONX,,,,NB EVERGREEN WESTCHESTER,BRONX,,NEW YORK,Insufficient Information,NB EVERGREEN WESTCHESTER,Evergreen Ave & Westchester Ave,FALSE
202819688,QUEENS,,,,BAISLEY BLVD + 172 STREET,QUEENS,,NEW YORK,Insufficient Information,BAISLEY BLVD + 172 STREET,Baisley Blvd & 172nd St,FALSE
202882278,QUEENS,,,,63 STREET ROOSEVELT AVENUE,QUEENS,,NEW YORK,Insufficient Information,63 STREET ROOSEVELT AVENUE,63rd St & Roosevelt Ave,FALSE
203342700,BROOKLYN,,,,4 AVENUE I O 16 STREET,BROOKLYN,,NEW YORK,Insufficient Information,4 AVENUE I O 16 STREET,4th Ave & 16th St,FALSE
204747364,MANHATTAN,,,,W 32ND 5TH AVE,NEW YORK,,NEW YORK,Insufficient Information,W 32ND 5TH AVE,W 32nd St & 5th Ave,FALSE
206047261,MANHATTAN,,,,S W C O W 43 8 AVENUE,NEW YORK,,NEW YORK,Insufficient Information,S W C O W 43 8 AVENUE,W 43rd St & 8th Ave,FALSE
206215736,BRONX,,,,HUGH J GRANT CIRCLE,BRONX,10462,NEW YORK,Insufficient Information,HUGH J GRANT CIRCLE,Hugh J Grant Circle,FALSE
206239303,MANHATTAN,,,,E 22 STREET 2 AVE,NEW YORK,,NEW YORK,Insufficient Information,E 22 STREET 2 AVE,E 22nd St & 2nd Ave,FALSE
207802614,BRONX,,,,INTERSECTION OF ROBERTS AVE,BRONX,,NEW YORK,Insufficient Information,INTERSECTION OF ROBERTS AVE,Roberts Ave & Crosby Ave,TRUE
208112603,BROOKLYN,,,,C O TOMPKINS LEXINGTON,BROOKLYN,,NEW YORK,Insufficient Information,TOMPKINS LEXINGTON,Tompkins Ave & Lexington Ave,FALSE
211631678,BROOKLYN,,,,8 AVENUE 60 STREET,BROOKLYN,,NEW YORK,Insufficient Information,8 AVENUE 60 STREET,8th Ave & 60th St,FALSE
211744125,NOT NYC,,,,BBWAY W 39 ST,,,,Insufficient Information,BBWAY W 39 ST,Broadway & W 39th St,FALSE
211744473,NOT NYC,,,,W 35TH BROADWAY,,,,Insufficient Information,W 35TH BROADWAY,W 35th St & Broadway,FALSE
211749643,MANHATTAN,,,,34TH 6TH AVE,NEW YORK,,NEW YORK,Insufficient Information,34TH 6TH AVE,34th St & 6th Ave,FALSE
211749652,MANHATTAN,,,,34TH 6TH AVE,NEW YORK,,NEW YORK,Insufficient Information,34TH 6TH AVE,34th St & 6th Ave,FALSE
211749854,NOT NYC,,,,W 37 STREET 6 AVENUE,,,,Insufficient Information,W 37 STREET 6 AVENUE,W 37th St & 6th Ave,FALSE
211991010,MANHATTAN,,,,SHERMAN AVENUE BROADWAY,NEW YORK,,NEW YORK,Insufficient Information,SHERMAN AVENUE BROADWAY,Sherman Ave & Broadway,FALSE
214544469,BROOKLYN,,,,N W CORNER OF GRAND STREETI,BROOKLYN,,NEW YORK,Insufficient Information,N W CORNER OF GRAND STREETI,Grand St & River St,TRUE
214544761,BROOKLYN,,,,S E CORNER 55 I O WYTHE AVE,BROOKLYN,,NEW YORK,Insufficient Information,S E CORNER 55 I O WYTHE AVE,55th Ave & Wythe Ave,FALSE
214544817,BROOKLYN,,,,C O HUMBOLDT MAUJER ST,BROOKLYN,,NEW YORK,Insufficient Information,HUMBOLDT MAUJER ST,Humboldt St & Maujer St,FALSE